,LOCATIONS,STATE,Temperature_Min,Temperature_Max,Temperature_Mean,pH_Min,pH_Max,pH_Mean,Conductivity_Min,Conductivity_Max,Conductivity_Mean,BOD_Min,BOD_Max,BOD_Mean,Nitrate_Min,Nitatre_Max,Nitrate_Mean,Fecal_coliform_Min,Fecal_coliform_Max,Fecal_coliform_Mean,Total_coliform_Min,Total_coliform_Max,Total_coliform_Mean
17,"RANIHAT- MANGALABAGH AREA, CUTTACK",Odisha,25.0,37.0,29.0,7.3,8.3,7.7,132,851,336,0.2,23.3,6.7,0.6,10.6,4.7,92000.0,160000.0,143000.0,160000.0,600000.0,215000.0
18,"KHANDAGIRI AREA, BHUBANESWAR",Odisha,26.0,33.0,29.5,6.1,6.1,6.1,143,290,217,0.1,0.5,0.3,1.3,9.7,5.5,0.0,0.0,0.0,0.0,0.0,0.0
19,"CAPITAL HOSPITAL AREA, BHUBANESWAR",Odisha,26.0,30.0,28.0,6.4,7.5,7.0,245,274,260,0.3,0.5,0.4,0.4,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"OLD TOWN- SAMANTARAAIPUR AREA, BHUBANESWAR",Odisha,29.0,30.0,29.5,6.4,7.4,6.9,652,774,713,0.3,0.4,0.4,1.3,8.2,4.8,0.0,0.0,0.0,0.0,0.0,0.0
21,"KALPNA - LAXMINAGAR AREA, BHUBANESWAR",Odisha,29.0,30.0,29.5,6.9,7.0,7.0,255,427,341,0.3,0.7,0.5,1.8,6.0,3.9,23.0,23.0,23.0,49.0,49.0,49.0
22,"MANCHESWAR INDUSTRIAL AREA, BHUBANESWAR",Odisha,29.0,30.0,29.5,6.3,7.7,7.0,107,235,171,0.1,0.2,0.2,0.7,2.2,1.4,8.0,8.0,8.0,23.0,23.0,23.0
23,"SECRETARIAT- GOVERNOR HOUSE- OLDBUS STAND AREA, BHUBANESWAR",Odisha,29.0,30.0,29.5,6.4,7.4,6.9,149,182,166,0.4,2.1,1.3,0.6,0.8,0.7,33.0,33.0,33.0,79.0,79.0,79.0
24,"NEAR SEA BEACH, PURI",Odisha,28.0,28.0,28.0,8.0,8.4,8.2,1176,1340,1258,0.1,0.4,0.3,2.2,10.4,6.3,0.0,0.0,0.0,0.0,0.0,0.0
25,"NEAR JAGANNATH TEMPLE, PURI",Odisha,26.0,27.0,26.5,7.9,7.9,7.9,988,1017,1003,0.2,0.3,0.3,2.9,11.0,6.9,130.0,130.0,130.0,540.0,540.0,540.0
26,"HOSPITAL - BUSSTAND- MAUSHIMA TEMPLE AREA, PURI",Odisha,26.0,27.0,26.5,7.7,8.3,8.0,761,855,808,0.3,0.6,0.5,2.8,9.3,6.0,13.0,13.0,13.0,220.0,220.0,220.0
27,"NEAR RIVER KUSHABHADRA, PURI",Odisha,27.0,28.0,27.5,8.2,8.3,8.3,320,403,362,0.2,0.5,0.4,0.3,3.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
28,GROUND WATER SAMPLING AT TWO POINTS IN INDUSTRIAL AREA MALANPUR,Madhya Pradesh,35.0,35.0,35.0,7.1,7.1,7.1,1005,1005,1005,127.4,127.4,127.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"MEHATWAS, NAGDA",Madhya Pradesh,0.0,0.0,0.0,7.5,7.5,7.5,1880,1880,1880,0.0,0.0,0.0,1.8,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0
30,"BHAGATPURI VILLAGE, NAGDA",Madhya Pradesh,28.0,28.0,28.0,7.5,7.5,7.5,920,920,920,0.0,0.0,0.0,5.1,5.1,5.1,0.0,0.0,0.0,110.0,110.0,110.0
